Customer_ID,Age,Gender,Phone No,Email,Location,Date,Flight ID,Preferred_Travel_Class,Booking_Channel,Destination_Type,Booking_Frequency,Distance,Miles_Accrued,Loyalty_Tier,Flight_Cancellations,Price_of_Ticket,Tenure,Revenue_Contribution,Ancillary_Purchases,Discount_Usage,Offer,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,AVG_INTERVAL time,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Complaints_Frequency,NPS,Recency
11,62,Female,(267)655-3666x7665,mballard@example.com,Japan,18-11-2024,JA3481,First Class,Online,International,2,352,973,Silver,5,1533.93,9,4722.39,2,6,Discount,,5,5,1,1,5,2,1,2,4,3,5,27,1,27,111,4,1,125
12,65,Female,+1-475-262-9797x131,vmckee@example.com,Germany,18-10-2024,GE5310,First Class,Online,Domestic,5,1334,1169,Platinum,3,1439.35,8,7406.28,1,40,Free Upgrade,2,1,5,2,3,2,2,5,2,1,2,5,30,2,45,116,2,7,104
13,22,Male,615.323.3976x63882,seanmoore@example.com,Canada,02-10-2024,CA4232,First Class,Phone,International,9,7176,1006,Gold,2,105.83,7,5300.28,2,49,No Offer,1,3,2,4,1,3,2,4,1,2,1,4,6,2,34,40,3,5,134
14,49,Female,215-625-1881x31471,allenjames@example.net,Germany,07-06-2024,GE5744,Business,Agent,Domestic,3,8264,2989,Silver,0,1304.99,7,10063.02,2,5,Discount,2,2,2,3,3,2,2,4,4,2,1,5,13,2,74,42,4,3,207
15,68,Female,776.668.6101x18397,joseph25@example.org,Germany,04-11-2024,GE1812,First Class,Online,Domestic,9,4761,1291,Platinum,5,1805.49,9,5329.44,2,29,No Offer,4,1,4,1,2,4,5,4,1,3,2,3,28,5,108,89,3,2,305
16,61,Male,972.642.6416x7588,kimberly56@example.org,France,23-03-2024,FR2255,Business,Agent,Domestic,2,9114,5757,Bronze,1,226.32,1,15652,1,47,Lounge Access,2,3,1,1,2,4,2,5,4,1,4,3,13,1,39,0,2,10,65
17,30,Female,001-826-383-2865x5557,paul45@example.net,Australia,03-04-2024,AU6489,Economy,Mobile App,Domestic,10,8539,401,Gold,4,632.61,7,4208.28,0,7,No Offer,3,3,5,4,4,5,5,5,4,3,2,5,3,1,25,117,5,4,96
18,49,Male,(874)791-4527x4358,lopezcourtney@example.org,USA,10-07-2024,US8356,First Class,Online,Domestic,10,3675,1490,Platinum,2,343.63,8,496.1,2,15,No Offer,4,3,1,2,2,4,1,4,1,2,1,5,18,1,6,67,5,6,233
19,38,Female,2159814522,brendasantiago@example.net,UK,03-08-2024,UK2103,First Class,Agent,International,6,6272,3548,Gold,1,461.95,8,272.32,1,27,No Offer,1,1,4,4,1,3,1,5,3,4,3,2,16,3,21,110,4,1,103
20,50,Male,(572)218-9978,sallyhampton@example.org,USA,03-09-2024,US5359,Business,Mobile App,International,8,1145,2967,Gold,2,259.26,6,1370.1,4,25,Free Upgrade,3,5,4,3,3,4,1,2,2,3,1,5,14,5,10,93,0,6,42
21,39,Male,277-261-3950,barbara35@example.org,USA,22-04-2024,US5719,Business,Online,Domestic,10,3535,6186,Gold,5,1503.88,8,1357.95,5,4,Lounge Access,5,4,4,1,3,5,1,3,2,3,4,3,7,5,62,77,1,8,357
22,55,Male,001-354-983-3469x4216,stephaniedowns@example.org,Japan,25-01-2024,JA8311,First Class,Phone,International,8,3978,344,Silver,5,359.18,7,1934.9,4,12,No Offer,4,4,5,5,3,2,3,4,1,2,5,5,10,4,61,94,0,8,363
23,50,Male,(547)943-2891x40788,wmontoya@example.com,India,01-11-2024,IN1845,First Class,Mobile App,International,5,9822,2049,Gold,1,306.44,6,5265.6,2,42,Lounge Access,5,,4,2,4,5,5,3,3,2,1,3,13,4,20,61,1,1,335
24,46,Male,823.825.0690x813,dhouston@example.org,USA,04-06-2024,US3187,Business,Online,Domestic,8,1254,510,Gold,5,1489.79,5,4154.5,2,6,Discount,1,3,5,4,1,4,3,4,2,4,5,2,1,1,0,96,4,8,31
25,80,Male,001-548-964-1065x72759,duncanmichelle@example.net,Japan,01-06-2024,JA3922,First Class,Agent,International,1,6496,939,Platinum,4,962.99,1,202.94,1,45,Discount,3,2,5,1,1,5,2,3,4,1,4,3,12,1,52,80,1,2,155
26,36,Female,(611)660-1007x3553,jerry61@example.com,France,25-08-2024,FR5449,First Class,Phone,Domestic,1,2622,1368,Bronze,5,1846.28,1,10619.14,2,27,Lounge Access,4,1,3,5,3,3,2,2,4,5,5,2,3,2,91,50,2,7,337
27,54,Male,-6683,ronniereilly@example.net,UK,02-06-2024,UK1022,Economy,Mobile App,Domestic,5,5547,1950,Bronze,2,1160.58,5,8699.4,5,8,No Offer,2,1,1,3,3,3,3,5,2,3,3,5,27,4,114,103,2,7,88
28,23,Female,886-296-5363,hperez@example.org,India,13-05-2024,IN8377,Economy,Phone,Domestic,5,5553,710,Platinum,4,1631.71,10,11720.24,0,14,Discount,5,3,4,3,4,1,5,2,2,1,5,3,7,2,107,78,3,4,304
29,55,Female,001-624-998-3469,robertdrake@example.org,Australia,07-12-2024,AU7952,Business,Agent,International,6,3136,7561,Silver,4,1701.66,10,11304.56,2,15,Lounge Access,1,5,4,2,4,5,2,2,2,4,1,1,19,4,96,2,2,1,159
30,64,Male,+1-315-487-8670x366,smithstacey@example.net,Japan,11-05-2024,JA2990,Economy,Online,Domestic,6,907,1702,Platinum,4,678.64,8,2214.3,1,15,No Offer,3,,2,5,5,5,4,1,1,4,3,1,15,2,113,73,4,9,220
31,51,Female,+1-477-826-1496x077,mmarshall@example.net,USA,26-09-2024,US6799,Economy,Online,International,10,2597,3193,Gold,1,1336.97,9,750.9,3,42,No Offer,3,2,1,3,4,2,5,5,1,1,4,5,19,3,23,62,4,1,206
32,32,Female,369.401.9253x41329,curtisrodriguez@example.com,Canada,15-09-2024,CA5405,Business,Phone,International,6,3512,963,Silver,3,1111.93,1,718.88,3,27,Free Upgrade,3,4,3,1,4,3,1,5,4,1,5,5,26,3,10,9,4,9,92
33,54,Female,505-227-7551x9348,imccoy@example.org,Canada,21-10-2024,CA3521,Economy,Online,Domestic,5,1643,3032,Bronze,0,1687.25,6,4941.4,0,46,Lounge Access,5,2,1,2,5,3,3,2,3,3,5,5,9,2,35,81,0,2,104
34,36,Female,803-494-1087x07081,marcuspayne@example.org,Japan,22-01-2024,JA5864,First Class,Agent,Domestic,6,5235,1649,Bronze,0,1353.43,8,11034.24,1,30,Discount,3,2,5,5,5,4,4,5,4,4,5,1,2,1,110,38,1,6,116
35,65,Female,641.733.9067,ulawrence@example.org,UK,11-12-2024,UK3799,First Class,Online,International,6,1693,164,Bronze,2,1915.34,4,10412.4,5,15,Discount,2,4,3,4,1,2,3,2,3,4,3,3,4,3,32,94,0,1,300
36,73,Female,239.353.7873,christianarnold@example.org,USA,18-04-2024,US3838,Business,Online,International,9,9918,1942,Bronze,2,1118.57,8,4652.7,4,50,Discount,5,5,3,4,2,3,2,5,4,5,2,3,19,5,82,61,5,7,34
37,78,Male,(752)430-6837x4536,davidsosa@example.net,France,22-04-2024,FR7097,First Class,Phone,Domestic,5,7986,689,Silver,1,1284.97,4,781.47,0,37,Free Upgrade,5,2,2,1,5,4,1,5,1,4,4,1,8,4,35,44,4,3,109
38,19,Female,001-440-346-4934x1545,jose09@example.org,Australia,09-04-2024,AU7584,Economy,Phone,Domestic,3,7067,3987,Platinum,0,1059.87,3,7141.95,2,44,No Offer,2,3,3,3,5,4,5,4,5,3,2,1,14,2,57,82,4,8,324
39,79,Male,801-221-1523x98100,evanscynthia@example.net,USA,16-05-2024,US1000,First Class,Online,International,9,7427,5719,Bronze,0,1335.23,5,8860.92,0,45,Free Upgrade,1,4,1,3,3,1,2,1,1,3,2,2,6,1,45,35,4,2,201
40,67,Female,292-204-8503x18465,flemingkevin@example.org,France,23-08-2024,FR6732,Economy,Agent,Domestic,4,9634,1553,Gold,3,312.83,9,5053,5,4,No Offer,3,1,4,4,1,5,4,2,4,3,5,1,16,5,115,43,4,3,136
41,59,Female,416.941.8230x10696,wunderwood@example.net,USA,26-01-2024,US1504,Economy,Phone,Domestic,10,7823,443,Silver,4,810.47,6,12023.1,5,32,Discount,2,4,5,3,3,5,3,4,3,2,4,2,29,2,48,72,4,5,216
42,59,Male,529.300.3533,trevormonroe@example.org,Germany,17-11-2024,GE8921,Business,Phone,Domestic,7,1894,2343,Gold,3,345.41,5,17059.5,4,19,No Offer,1,2,2,5,3,4,5,1,1,2,4,1,7,1,100,28,5,4,129
43,80,Female,(829)426-2361,hudsonmaria@example.com,Germany,15-05-2024,GE5763,Business,Phone,Domestic,1,434,86,Bronze,4,1922.75,3,2678.28,5,23,Lounge Access,3,1,2,4,4,4,2,4,4,1,1,2,8,4,72,67,1,3,220
44,39,Male,730.805.6876x038,lcoleman@example.org,UK,27-11-2024,UK2271,Business,Agent,Domestic,9,3612,10,Platinum,5,1481.06,4,7445.45,1,35,No Offer,2,3,4,4,1,3,5,1,2,5,2,1,3,1,75,63,2,3,51
45,33,Male,+1-326-480-8397x2292,logan60@example.com,Japan,09-05-2024,JA6884,First Class,Phone,Domestic,7,3385,6982,Silver,4,1898.09,4,13753.88,2,37,Lounge Access,2,5,1,3,3,5,1,1,5,2,1,1,19,1,18,21,0,2,266
46,58,Male,001-214-683-4854x51642,heathercalhoun@example.net,France,14-10-2024,FR2992,Business,Phone,Domestic,2,4594,6233,Platinum,3,333.95,1,454.93,5,21,Discount,2,4,5,5,3,3,4,2,4,3,1,2,19,4,43,40,3,9,182
47,59,Male,001-265-767-9720x285,cjimenez@example.net,Canada,03-12-2024,CA3233,First Class,Online,International,4,392,499,Gold,5,1661.04,5,5477,0,8,No Offer,1,1,1,3,1,4,1,1,3,4,3,5,20,2,50,38,2,8,205
48,57,Male,548.408.6728,bobby45@example.net,India,06-06-2024,IN3612,Business,Online,Domestic,1,2249,815,Bronze,0,1551.35,8,2933.6,1,40,Discount,3,5,3,2,5,2,1,2,4,2,3,1,26,5,77,53,3,4,242
49,33,Female,385.907.9332x29560,rgross@example.org,Germany,01-03-2024,GE4360,Economy,Online,Domestic,8,8905,4933,Gold,4,1957.03,5,811.58,2,44,No Offer,5,4,4,1,2,1,2,5,1,1,2,5,15,4,66,34,5,6,10
50,74,Male,229.382.6842x518,angela69@example.com,UK,26-02-2024,UK6875,Economy,Agent,Domestic,2,1925,3367,Bronze,4,1300.46,1,719.76,5,20,Lounge Access,3,2,3,4,5,3,3,2,3,3,5,2,8,1,18,115,3,4,340
51,77,Male,327-910-6432x6737,lynn83@example.org,USA,30-05-2024,US3916,Economy,Phone,International,5,9234,2070,Silver,0,620.74,3,796.71,2,31,Free Upgrade,,3,1,3,5,4,4,4,3,4,2,3,19,3,116,77,4,8,292
52,70,Male,-1530,tcrane@example.com,Germany,09-07-2024,GE6585,Economy,Phone,Domestic,4,8478,5430,Bronze,1,104.37,4,11470.62,2,27,Lounge Access,5,5,2,4,1,3,2,2,1,5,4,1,10,2,120,111,2,5,58
53,65,Male,+1-397-958-1189x8990,thomasgarrett@example.org,Germany,03-10-2024,GE2375,First Class,Phone,Domestic,9,9601,1312,Silver,4,178.88,3,11038.16,4,14,No Offer,5,2,4,1,5,1,1,5,3,4,4,3,13,4,26,29,0,8,142
54,67,Male,257-852-9556x41017,fthomas@example.com,Germany,24-11-2024,GE1341,Economy,Agent,International,8,8635,5440,Bronze,1,1653.37,10,1420.92,2,35,No Offer,1,3,2,3,2,5,2,4,1,1,4,3,8,5,49,18,1,1,302
55,38,Female,001-607-558-0568x91815,hsteele@example.com,Germany,28-01-2024,GE6333,Business,Online,International,8,6580,2400,Silver,2,1077.08,8,6002.44,3,46,No Offer,3,1,5,4,1,5,3,2,4,3,1,1,25,5,95,119,1,9,253
56,51,Male,001-976-901-7385x32628,robertbarker@example.org,India,17-10-2024,IN8952,Economy,Agent,Domestic,5,478,2408,Gold,0,959.95,2,8591.8,3,31,Free Upgrade,3,1,3,5,1,5,5,1,1,3,4,3,29,3,76,47,0,2,76
57,18,Female,001-418-676-3930x45180,rebecca38@example.org,India,08-08-2024,IN6036,First Class,Mobile App,International,9,4098,7130,Platinum,2,237.5,6,8815.36,4,9,Discount,1,2,3,1,5,5,2,2,4,1,3,1,25,2,64,113,3,9,34
58,65,Male,450-617-6981x360,vrivera@example.net,UK,10-12-2024,UK3899,Business,Mobile App,Domestic,10,3066,991,Bronze,4,1802.41,2,3391.54,1,32,Lounge Access,4,4,4,3,3,3,1,5,2,3,5,1,27,5,60,12,4,5,189
59,21,Male,(538)620-0827,melvin79@example.net,France,03-07-2024,FR6213,Business,Phone,International,7,4320,1071,Bronze,2,1523.46,5,4314,0,44,Free Upgrade,1,4,4,2,1,2,1,3,4,5,5,2,18,5,113,78,2,3,185
60,60,Male,556-615-3829x9625,david27@example.com,USA,10-03-2024,US9609,First Class,Phone,International,7,5544,25,Gold,1,1068.34,5,5091.12,0,31,No Offer,1,4,2,1,2,1,5,3,2,4,1,3,7,3,44,21,5,2,273
61,33,Female,001-577-331-0891x477,morankrystal@example.com,UK,22-10-2024,UK7902,First Class,Agent,Domestic,2,8225,672,Silver,2,1287.78,8,3327,5,0,Lounge Access,3,1,3,3,2,2,2,2,1,3,2,4,22,2,68,104,2,6,182
62,40,Male,476.986.7289x35320,peckjohn@example.net,Germany,09-06-2024,GE5090,Economy,Phone,Domestic,10,3600,2719,Silver,3,770.3,2,713.88,4,27,Discount,5,5,4,3,5,3,5,3,5,4,1,1,16,5,70,60,5,4,309
63,30,Male,(218)891-7997x7143,nbradley@example.org,Germany,02-03-2024,GE7007,Business,Agent,Domestic,7,5909,4278,Gold,4,1531.49,4,9848.8,0,19,No Offer,3,1,2,5,5,2,3,3,3,5,5,1,14,3,101,109,1,8,135
64,26,Female,-1679,loribarker@example.com,France,09-04-2024,FR6974,First Class,Online,International,2,4877,2392,Platinum,1,1065.01,8,14069.2,1,18,Discount,3,1,1,4,2,3,3,1,4,3,4,5,2,3,29,114,1,5,24
65,39,Female,260.271.5467x3595,kramermichael@example.net,Australia,26-04-2024,AU4972,Economy,Online,Domestic,5,2646,3235,Gold,2,431.72,8,1872.12,1,40,No Offer,5,3,1,3,4,4,2,2,5,3,2,4,16,5,12,89,2,10,24
66,38,Female,921.788.2774,jbarker@example.net,USA,10-10-2024,US5339,Economy,Online,International,7,108,2294,Platinum,1,553.64,1,15607.28,1,3,No Offer,4,1,5,5,5,5,3,1,4,2,4,5,26,2,43,120,5,6,51
67,28,Male,802.932.8444,williamsjustin@example.org,India,01-07-2024,IN2599,First Class,Online,International,2,6363,3697,Gold,3,603.19,3,11041.59,3,45,Free Upgrade,5,3,2,2,1,1,4,3,2,4,3,5,27,2,17,93,4,3,103
68,64,Male,001-547-952-3027x972,rodriguezsherry@example.net,UK,15-02-2024,UK7830,Economy,Online,Domestic,8,2587,255,Platinum,5,1862.01,7,548.59,1,45,Free Upgrade,2,3,2,2,4,5,2,2,4,3,4,4,9,1,85,67,5,4,67
69,74,Male,604.584.4901x462,walkerrobert@example.org,Japan,09-11-2024,JA3794,Business,Phone,International,1,7876,6026,Silver,3,1424.11,1,2495,0,8,Discount,3,3,4,3,3,5,4,5,3,5,5,2,8,4,53,10,2,2,268
70,71,Female,(445)315-2680,deanvazquez@example.net,Australia,13-04-2024,AU9523,Economy,Agent,International,7,5845,2670,Bronze,4,157.75,2,8812.58,4,45,Discount,2,4,5,4,4,4,1,4,5,4,3,4,21,3,109,24,0,10,185
71,73,Female,232-656-8457x71444,kroberson@example.com,Germany,14-06-2024,GE9017,Economy,Mobile App,Domestic,6,8695,114,Gold,2,1176.14,5,3281.44,2,1,No Offer,5,2,2,5,2,1,1,5,2,2,4,2,15,3,42,117,2,8,130
72,26,Female,6567131298,brownoscar@example.org,Australia,16-11-2024,AU1731,First Class,Online,Domestic,2,6807,3208,Gold,5,1304.43,3,5491.85,2,2,No Offer,1,1,1,2,2,3,5,4,3,2,5,4,9,5,31,17,5,6,163
73,22,Female,210.962.7360,taylornancy@example.org,Germany,30-05-2024,GE3374,Economy,Online,Domestic,6,7688,254,Bronze,2,1840.99,3,1718.01,5,9,Free Upgrade,5,5,5,1,4,1,1,3,3,3,1,3,3,1,67,2,1,3,24
74,51,Male,330-983-5691,david71@example.net,USA,25-01-2024,US6122,Economy,Online,Domestic,6,206,4281,Gold,4,1564.43,1,3911.04,2,4,Free Upgrade,3,5,5,1,3,5,5,2,3,3,1,5,7,3,45,13,1,10,120
75,24,Female,(338)806-5366x0000,sabrinajones@example.net,USA,06-04-2024,US9445,First Class,Online,Domestic,8,3326,6121,Gold,5,984.26,2,11583.67,5,9,Discount,1,1,1,2,2,1,3,4,4,5,4,5,29,4,108,67,1,10,236
76,33,Female,281-489-9939x8131,kristajackson@example.com,UK,21-06-2024,UK1091,Business,Phone,Domestic,6,565,1980,Bronze,5,875.73,8,738.05,4,11,Lounge Access,1,1,3,3,2,4,4,1,1,2,1,1,26,4,85,6,0,3,239
77,71,Female,611-591-8715x4710,gaysusan@example.org,Canada,04-04-2024,CA8039,Economy,Agent,Domestic,9,7981,4871,Gold,4,1756.65,3,18384.2,3,13,Lounge Access,2,4,5,2,2,2,3,5,2,5,4,3,24,5,47,111,5,7,281
78,66,Female,+1-509-264-4989x615,montgomerytaylor@example.com,Germany,07-03-2024,GE9027,First Class,Agent,International,7,6482,3670,Bronze,2,1307.34,5,5107.65,4,32,No Offer,4,5,4,3,2,4,2,4,4,1,4,3,20,4,63,114,2,2,356
79,29,Female,859-775-9517,trollins@example.net,Australia,25-08-2024,AU5695,Economy,Online,Domestic,3,9901,1320,Gold,5,465.49,3,1660.38,2,15,Lounge Access,5,1,2,5,2,5,1,5,1,5,5,1,26,4,100,71,0,10,57
80,58,Male,877.396.7922,leviturner@example.com,Germany,26-09-2024,GE8435,Business,Agent,Domestic,3,537,2100,Silver,0,1179.65,1,4443.9,4,28,No Offer,1,1,1,5,1,1,1,5,1,1,4,1,21,5,31,47,1,9,75
81,18,Male,920-699-2453,martinholt@example.org,USA,25-06-2024,US7181,Economy,Phone,Domestic,7,4556,3421,Gold,0,1316.78,1,9899.26,2,46,No Offer,3,4,2,3,2,4,1,5,5,1,2,4,13,1,46,50,5,7,349
82,20,Male,744-997-1978x923,kathrynpace@example.org,Australia,30-10-2024,AU7615,First Class,Mobile App,International,10,3339,4532,Gold,5,1989.38,10,7531.74,2,1,No Offer,3,4,2,4,4,4,2,5,1,5,2,3,2,1,106,106,0,4,156
83,66,Male,+1-761-804-6039x732,udavis@example.org,UK,06-01-2024,UK7444,First Class,Mobile App,Domestic,7,7817,3529,Platinum,5,301.74,9,6026.31,5,8,Free Upgrade,5,1,2,1,3,3,3,3,1,1,5,1,23,3,96,94,5,5,295
84,60,Male,(801)936-6914x903,danielhart@example.com,Canada,03-08-2024,CA2257,First Class,Online,International,5,5271,1535,Silver,1,198.51,1,6022,1,18,Lounge Access,5,1,4,3,4,4,4,2,2,4,2,4,14,1,66,108,4,1,250
85,34,Male,-9458,tiffany43@example.org,Canada,17-06-2024,CA1341,Business,Mobile App,International,1,4354,6615,Silver,1,535.05,10,5025.2,3,49,Lounge Access,2,3,1,4,4,4,1,2,2,3,2,1,30,1,63,43,5,1,305
86,60,Female,+1-798-507-1376x7737,mooredarren@example.net,France,14-03-2024,FR3816,Business,Phone,Domestic,9,6354,1030,Gold,3,386.24,1,1490.9,0,18,Free Upgrade,4,4,4,1,1,4,3,1,2,2,3,2,1,3,52,8,5,8,255
87,19,Male,800.392.7599,urobinson@example.org,Japan,23-06-2024,JA3245,Business,Online,Domestic,6,1006,1940,Silver,5,1430.34,10,867.6,0,4,No Offer,2,,2,1,4,2,2,2,5,3,5,3,26,3,89,28,2,7,133
88,34,Female,(826)817-5939x562,tmoreno@example.com,UK,12-05-2024,UK6294,Business,Online,International,9,5263,3542,Platinum,4,1591.3,2,3360.6,1,12,Discount,5,1,3,4,3,1,2,5,1,3,5,5,29,1,44,86,1,4,329
89,18,Male,599-246-6566x78344,pbrown@example.net,UK,26-04-2024,UK4410,Business,Online,International,9,1263,1179,Silver,2,441.82,10,2226.66,4,9,No Offer,4,5,5,1,3,3,3,1,3,1,2,2,30,2,117,66,2,2,199
90,33,Male,+1-443-962-6336x66536,john75@example.org,UK,23-06-2024,UK1143,Economy,Phone,International,6,8948,7541,Bronze,4,1847.3,4,1510.3,0,0,No Offer,2,3,1,1,4,5,5,3,4,1,2,4,11,3,119,22,1,2,75
91,49,Male,542.365.4612,angela03@example.com,Canada,20-10-2024,CA2149,First Class,Online,International,3,995,1970,Platinum,5,1607.39,3,19980.2,5,17,Lounge Access,5,4,4,3,5,4,5,1,3,4,5,2,27,1,48,58,5,3,65
92,62,Male,-9962,nrichardson@example.com,France,25-01-2024,FR7964,First Class,Mobile App,Domestic,3,8774,4608,Bronze,4,1133.94,2,3746.16,1,49,No Offer,2,1,5,1,3,2,4,5,2,5,5,5,16,3,70,120,4,9,206
93,51,Female,001-588-575-9477x2880,johnsonjanet@example.org,Australia,25-02-2024,AU1669,First Class,Online,Domestic,8,9796,4776,Bronze,0,677.38,7,2935.74,3,46,Discount,2,3,5,2,4,4,4,4,3,2,1,1,22,1,49,34,2,5,83
94,20,Male,001-326-541-8515x539,tommy34@example.org,Germany,25-11-2024,GE4697,Economy,Agent,International,4,8245,1395,Platinum,4,894.92,1,6143.1,4,30,Discount,5,3,1,5,5,1,5,4,1,4,2,4,4,5,26,28,5,8,122
95,59,Female,(917)410-9062x429,csmith@example.org,France,14-07-2024,FR8198,Business,Mobile App,International,6,7158,2531,Platinum,2,940.68,3,9301.52,2,33,Free Upgrade,5,2,1,1,2,1,5,1,4,5,1,3,4,4,102,68,5,7,23
96,41,Female,700.775.1410x5983,christopherbrown@example.net,Canada,31-08-2024,CA3086,First Class,Online,Domestic,6,448,538,Gold,5,979.57,6,4103.25,5,42,Discount,4,5,3,3,3,5,2,2,3,4,2,5,10,4,30,60,0,6,224
97,43,Female,238.309.5464x277,christine56@example.com,Germany,13-09-2024,GE5106,Economy,Online,Domestic,8,1375,156,Gold,5,655.09,7,7311.48,5,0,No Offer,4,1,2,2,1,4,4,3,4,4,3,1,20,2,70,19,2,5,77
98,59,Female,001-536-258-7133,kristinawoods@example.net,Japan,27-03-2024,JA9407,First Class,Online,International,6,8871,2952,Platinum,1,1039.33,8,1066.32,0,29,No Offer,5,1,3,3,1,4,4,5,3,2,4,1,6,2,60,68,3,10,291
99,78,Male,(468)779-8312,james83@example.net,France,31-10-2024,FR8140,Business,Agent,Domestic,9,4060,5602,Bronze,1,1813.7,1,7337.1,1,1,Free Upgrade,2,5,5,1,4,2,2,2,5,3,4,3,21,1,46,53,5,4,36
100,50,Male,(377)357-7028x91044,lvasquez@example.net,Canada,18-04-2024,CA8097,Economy,Phone,Domestic,9,1967,884,Silver,5,479.08,9,413.84,0,7,No Offer,2,4,5,5,2,2,3,5,2,2,1,3,23,1,88,45,2,4,96
101,47,Male,(856)420-2208x984,dianabryant@example.com,Canada,30-10-2024,CA2783,First Class,Online,Domestic,10,7806,900,Platinum,4,917.26,2,5370.25,2,10,Lounge Access,5,2,3,5,5,4,3,1,3,3,5,1,12,2,79,92,2,3,235
102,55,Male,(918)706-5418x24006,clarkcurtis@example.com,Canada,27-03-2024,CA6036,Economy,Agent,Domestic,5,7897,3271,Bronze,3,601.07,1,2605.18,2,15,Discount,5,1,4,3,3,1,1,3,2,5,3,4,20,3,88,90,5,2,287
103,55,Male,324.951.1846x31299,ncarroll@example.net,Germany,23-11-2024,GE9557,Economy,Phone,Domestic,5,5714,414,Bronze,2,714.49,1,5319.18,1,25,Free Upgrade,2,5,3,1,1,3,4,1,4,1,2,1,2,5,52,40,0,7,180
104,49,Female,7915877398,howardwright@example.net,Japan,07-07-2024,JA3062,First Class,Online,International,7,1679,427,Gold,5,1896.84,3,1514.07,2,49,No Offer,,1,4,2,3,5,5,2,5,5,2,3,26,2,9,11,4,9,201
105,38,Male,(875)819-4933,heatherlewis@example.com,Canada,09-10-2024,CA1713,Economy,Phone,Domestic,4,234,2058,Silver,5,1688.54,1,12115.28,1,10,Discount,5,5,4,1,1,5,3,5,4,3,2,2,29,3,101,1,2,9,60
106,61,Female,963-631-2049x85137,nguyenscott@example.net,Australia,13-11-2024,AU4281,First Class,Phone,International,10,5686,5197,Gold,4,774.93,4,1442.56,1,8,No Offer,1,4,3,5,1,5,3,5,5,3,4,2,19,1,25,58,0,8,68
